group,date,link_text,url,filename
Operations Cluster,2025-12-03,"December 3, 2025",https://file.lacounty.gov/SDSInter/ceo/agendas/1196932_12.03.25Agenda-operations.pdf,1196932_12.03.25Agenda-operations.pdf
Operations Cluster,2025-11-26,"November 26, 2025",https://file.lacounty.gov/SDSInter/ceo/agendas/1196634_11.26.25Agenda.pdf,1196634_11.26.25Agenda.pdf
Operations Cluster,2025-11-19,"November 19, 2025",https://file.lacounty.gov/SDSInter/ceo/agendas/1196048_11.19.25Agenda-operations.pdf,1196048_11.19.25Agenda-operations.pdf
Operations Cluster,2025-11-12,"November 12, 2025",https://file.lacounty.gov/SDSInter/ceo/agendas/1195634_11.12.25Agenda.pdf,1195634_11.12.25Agenda.pdf
Operations Cluster,2025-11-05,"November 5, 2025",https://file.lacounty.gov/SDSInter/ceo/agendas/1195167_11.05.25Agenda-operations.pdf,1195167_11.05.25Agenda-operations.pdf
Operations Cluster,2025-10-29,"October 29, 2025",https://file.lacounty.gov/SDSInter/ceo/agendas/1194771_10.29.25Agenda.pdf,1194771_10.29.25Agenda.pdf
Operations Cluster,2025-10-22,"October 22, 2025",https://file.lacounty.gov/SDSInter/ceo/agendas/1194347_10.22.25Agenda-operations.pdf,1194347_10.22.25Agenda-operations.pdf
Operations Cluster,2025-10-15,"October 15, 2025",https://file.lacounty.gov/SDSInter/ceo/agendas/1193922_10.15.25Agenda.pdf,1193922_10.15.25Agenda.pdf
Operations Cluster,2025-10-08,"October 8, 2025",https://file.lacounty.gov/SDSInter/ceo/agendas/1193549_10.08.25Agenda.pdf,1193549_10.08.25Agenda.pdf
Operations Cluster,2025-10-01,"October 1, 2025",https://file.lacounty.gov/SDSInter/ceo/agendas/1192884_10.01.25Agenda.pdf,1192884_10.01.25Agenda.pdf
Operations Cluster,2025-09-24,"September 24, 2025",https://file.lacounty.gov/SDSInter/ceo/agendas/1192533_09.24.25Agenda-operations.pdf,1192533_09.24.25Agenda-operations.pdf
Operations Cluster,2025-09-17,"September 17, 2025",https://file.lacounty.gov/SDSInter/ceo/agendas/1191789_09.17.25Agenda-operationscluster.pdf,1191789_09.17.25Agenda-operationscluster.pdf
Operations Cluster,2025-09-10,"September 10, 2025",https://file.lacounty.gov/SDSInter/ceo/agendas/1191371_09.10.25OperationsClusterMeetingAgendaAgenda.pdf,1191371_09.10.25OperationsClusterMeetingAgendaAgenda.pdf
