group,date,link_text,url
(unlabeled),unknown_date,Agenda,https://homeless.lacounty.gov/wp-content/uploads/2018/12/120618-COAB-Mtg-Agenda_FINAL.pdf
(unlabeled),unknown_date,Agenda,https://homeless.lacounty.gov/wp-content/uploads/2018/08/COAB-Mtg-Agenda-090618-FINAL-1.pdf
(unlabeled),unknown_date,Agenda,https://homeless.lacounty.gov/wp-content/uploads/2018/08/COAB-Mtg-Listening-Session-Agenda-081418-FINAL.pdf
(unlabeled),unknown_date,Agenda,https://homeless.lacounty.gov/wp-content/uploads/2018/06/060718-COAB-Mtg-Agenda_FINAL.pdf
(unlabeled),unknown_date,Agenda,https://homeless.lacounty.gov/wp-content/uploads/2018/04/1031228_MEASUREHCitizens_OversightAdvisoryBoard.pdf
457 Horizons Plan Administrative Committee,2025-11-21,"November 21, 2025",https://file.lacounty.gov/SDSInter/ceo/agendas/1195988_HorizonsPACAgenda11.21.25-Final.pdf
457 Horizons Plan Administrative Committee,2025-10-31,"October 31, 2025",https://file.lacounty.gov/SDSInter/ceo/agendas/1194705_HorizonsPACAgenda10-31-2025FINAL.pdf
457 Horizons Plan Administrative Committee,2025-10-23,"October 23, 2025",https://file.lacounty.gov/SDSInter/ceo/agendas/1194144_10.23.25ArtsDeputiesAgenda.pdf
457 Horizons Plan Administrative Committee,2025-10-23,"October 23, 2025",https://file.lacounty.gov/SDSInter/ceo/agendas/1194442_CSCCSubcommitteeAgenda_October232025.pdf
457 Horizons Plan Administrative Committee,2025-09-26,"September 26, 2025",https://file.lacounty.gov/SDSInter/ceo/agendas/1192337_HorizonsPACAgendafor9.26.25.pdf
Community Services Cluster,unknown_date,Item 2A,https://file.lacounty.gov/SDSInter/ceo/agendas/1187069_2A-InformationalItems-ParksandRecreationRevisedFees.pdf
Community Services Cluster,unknown_date,Presentation,https://file.lacounty.gov/SDSInter/ceo/agendas/1195226_Item4A-DBH-CoastalResilienceProjectsUpdate-Presentation.pdf
Community Services Cluster,unknown_date,Presentation,https://file.lacounty.gov/SDSInter/ceo/agendas/1187640_Item4A-LibraryPresentation-Safety_WellbeingatLACountyLibrary.pdf
Community Services Cluster,unknown_date,Presentation,https://file.lacounty.gov/SDSInter/ceo/agendas/1187511_BiosciencePresentation.pdf
Community Services Cluster,unknown_date,Presentation,https://file.lacounty.gov/SDSInter/ceo/agendas/1168714_Item3A-PK-APPROVALOFMAXIMUMANDMIINIMUM2025TICKETPRICESCHEDULEFORHOLLYWOODBOWL.pdf
Economic Development Policy Committee,2025-12-04,"December 4, 2025",https://file.lacounty.gov/SDSInter/ceo/agendas/1196859_EDPCAgenda_12.4.25.pdf
