group,n_links,min_date,max_date
(unlabeled),54,2017-09-26,2025-11-24
457 Horizons Plan Administrative Committee,137,2020-12-17,2025-11-21
Community Services Cluster,268,2021-01-12,2025-12-03
Economic Development Policy Committee,83,2022-01-06,2025-12-04
Executive Committee for Regional Homeless Alignment,35,2024-02-20,2025-11-21
Family and Social Services Cluster,211,2021-09-01,2025-12-03
Gender-Based Violence Cluster,30,2024-02-15,2025-11-20
Health and Mental Health Services Cluster,226,2021-09-01,2025-12-03
Homeless Policy Deputies,101,2021-09-09,2025-11-20
LACDA Board Deputies,63,2021-09-01,2025-12-04
Monthly Planning Deputies,12,2021-01-14,2022-01-13
Operations Cluster,221,2021-09-01,2025-12-03
Pension Savings Plan Administrative Committee,44,2021-02-26,2025-11-21
Permanent Steering Committee,40,2021-02-24,2025-10-23
Public Safety Cluster,208,2021-09-01,2025-12-03
Savings 401(k) Plan Administrative Committee,94,2020-09-25,2025-12-04
