group,date,link_text,url,filename
(unlabeled),2024-10-30,"October 30, 2024",https://file.lacounty.gov/SDSInter/ceo/agendas/1169575_2024.10.30.CCJagendaanddocs.pdf,1169575_2024.10.30.CCJagendaanddocs.pdf
(unlabeled),2024-06-05,"June 5, 2024",https://file.lacounty.gov/SDSInter/ceo/agendas/1161397_2024.06.05.CCJagendaanddocs.pdf,1161397_2024.06.05.CCJagendaanddocs.pdf
(unlabeled),2025-11-24,"November 24, 2025",https://file.lacounty.gov/SDSInter/ceo/agendas/1196556_112425FinalAgenda-MeasureALaborCouncil.pdf,1196556_112425FinalAgenda-MeasureALaborCouncil.pdf
(unlabeled),2025-11-14,"November 14, 2025",https://file.lacounty.gov/SDSInter/lac/1195739_11-14-2025FINALAGENDA.pdf,1195739_11-14-2025FINALAGENDA.pdf
(unlabeled),2025-10-10,"October 10, 2025",https://file.lacounty.gov/SDSInter/ceo/agendas/1193623_101025FINALAgenda-MeasureALaborCouncil.pdf,1193623_101025FINALAgenda-MeasureALaborCouncil.pdf
(unlabeled),2025-01-30,"January 30, 2025",https://file.lacounty.gov/SDSInter/ceo/agendas/1176410_1-30-25FinalCOABAgenda.pdf,1176410_1-30-25FinalCOABAgenda.pdf
(unlabeled),2024-12-05,"December 5, 2024 – CANCELLED",https://file.lacounty.gov/SDSInter/ceo/agendas/1171031_12-05-24COABAgenda.pdf,1171031_12-05-24COABAgenda.pdf
(unlabeled),2024-09-05,"September 5, 2024 – Updated",https://file.lacounty.gov/SDSInter/ceo/agendas/1166558_9_5_24COABMeetingAgendawithAllAttachments.pdf,1166558_9_5_24COABMeetingAgendawithAllAttachments.pdf
(unlabeled),2024-06-06,"June 6, 2024",https://file.lacounty.gov/SDSInter/ceo/agendas/1161890_Updated06-06-24COABAgendaAttachments.pdf,1161890_Updated06-06-24COABAgendaAttachments.pdf
(unlabeled),2024-03-07,"March 7, 2024",https://file.lacounty.gov/SDSInter/ceo/agendas/1156796_03-07-24COABAgendaAttachments.pdf,1156796_03-07-24COABAgendaAttachments.pdf
(unlabeled),2023-12-07,"December 7, 2023",https://file.lacounty.gov/SDSInter/ceo/agendas/1152527_12.7.23COABAgendaandAttachments.pdf,1152527_12.7.23COABAgendaandAttachments.pdf
